X_a_1,X_a_2
0.62668,0.15521
0.12371,0.87625
0.87131,0.63815
0.49438,0.00390
0.69370,0.54642
0.84688,0.76956
0.67544,0.98166
0.54706,0.69816
0.22342,0.64808
0.38111,0.76849
0.42403,0.16190
0.15119,0.51941
0.40435,0.41929
0.14114,0.85741
0.59372,0.84489
0.72441,0.59609
0.23347,0.79244
0.42911,0.08291
0.63465,0.45372
0.02762,0.01557
0.24895,0.41795
0.09514,0.75014
0.12354,0.79239
0.49209,0.82171
0.46362,0.57237
0.36752,0.97601
0.94229,0.29279
0.43613,0.62863
0.47954,0.92138
0.34525,0.78845
0.84711,0.33246
0.91928,0.58847
0.65289,0.21101
0.58449,0.23777
0.57501,0.15124
0.07661,0.69882
0.93048,0.27482
0.79617,0.02480
0.28754,0.14958
0.57110,0.44747
0.57676,0.70933
0.44668,0.58759
0.38903,0.08133
0.89254,0.59656
0.49372,0.20420
0.40440,0.14583
0.21016,0.64595
0.02608,0.87005
0.90912,0.16267
0.56821,0.45130
0.73111,0.11298
0.52993,0.17032
0.43118,0.24732
0.25321,0.95511
0.53174,0.81549
0.81029,0.89164
0.33277,0.07353
0.29489,0.59046
0.23064,0.12644
0.21732,0.95919
0.14768,0.54299
0.92242,0.23442
0.10582,0.37566
0.27471,0.15971
0.09847,0.92029
0.78750,0.37153
0.28402,0.62706
0.03996,0.48276
0.04515,0.57122
0.29453,0.99867
0.48416,0.67262
0.40502,0.43471
0.94300,0.56670
0.13235,0.46255
0.60674,0.06223
0.65821,0.64706
0.47416,0.62822
0.28127,0.47291
0.26711,0.11641
0.62568,0.04614
0.94187,0.62845
0.54489,0.72227
0.33959,0.94106
0.08392,0.10030
0.76278,0.11424
0.16058,0.57545
0.02807,0.82760
0.42828,0.96172
0.71244,0.90045
0.71502,0.96002
0.70798,0.27850
0.23755,0.98995
0.35965,0.16027
0.47031,0.62596
0.01854,0.65563
0.42289,0.49789
0.32541,0.55688
0.84532,0.50942
0.80106,0.64352
0.64317,0.99284
0.94401,0.89792
0.57293,0.43084
0.95562,0.07396
0.03878,0.10007
0.09278,0.22712
0.99974,0.27701
0.16765,0.91995
0.26337,0.27814
0.16503,0.38973
0.60359,0.49584
0.89026,0.69278
0.01343,0.97152
0.31904,0.48996
0.84942,0.37846
0.33482,0.37064
0.82917,0.28737
0.34981,0.37272
0.49293,0.23841
0.11972,0.17943
0.00687,0.55276
0.80072,0.03433
0.27565,0.28677
0.34774,0.64844
0.97603,0.76179
0.35383,0.68542
0.55263,0.10429
0.18631,0.96727
0.22109,0.52592
0.55044,0.71791
0.27178,0.63420
0.89881,0.32975
0.36604,0.81699
0.11295,0.74028
0.09256,0.62586
0.50383,0.53766
0.64703,0.28609
0.81439,0.00758
0.38792,0.01648
0.75964,0.37787
0.48525,0.80514
0.62811,0.95040
0.19629,0.34422
0.22051,0.77030
0.71808,0.36253
0.00745,0.54894
0.00338,0.18446
0.77222,0.35487
0.42188,0.56859
0.73722,0.78501
0.36950,0.52948
0.79194,0.79551
0.38565,0.99988
0.84241,0.48952
0.10795,0.99621
0.63433,0.84421
0.15829,0.20342
0.84631,0.31778
0.54236,0.92772
0.90456,0.12648
0.98187,0.23319
0.45442,0.30913
0.06569,0.09885
0.94369,0.41601
0.23206,0.02566
0.87326,0.46019
0.46950,0.00223
0.17680,0.50022
0.58157,0.97563
0.59158,0.03383
0.27827,0.24563
0.70671,0.48464
0.58218,0.93088
0.15295,0.98470
0.86292,0.22325
0.23822,0.48598
0.51949,0.91232
0.09498,0.65762
0.97986,0.09964
0.99330,0.48017
0.76631,0.85500
0.63578,0.63236
0.20641,0.36238
0.38734,0.48046
0.87782,0.55704
0.82240,0.64180
0.38656,0.49891
0.30051,0.53997
0.39074,0.99134
0.93435,0.15574
0.84954,0.83244
0.19773,0.97001
0.89434,0.85191
0.55847,0.93760
0.58790,0.72555
0.30847,0.24264
0.46972,0.19349
0.90159,0.44116
0.34527,0.09610
0.10860,0.24318
0.81489,0.21344
0.10255,0.42455
0.07543,0.86666
0.85233,0.48405
0.32722,0.77453
0.79006,0.61967
0.75988,0.17798
0.92475,0.31065
0.99161,0.18000
0.25967,0.73073
0.87394,0.06649
0.33679,0.96089
0.16693,0.57253
0.26367,0.24141
0.89029,0.40574
0.86839,0.81670
0.34806,0.48606
0.60500,0.19520
0.89540,0.51319
0.37775,0.08006
0.88215,0.24520
0.16751,0.72752
0.57787,0.70167
0.72092,0.93032
0.05340,0.08042
0.24990,0.09987
0.78131,0.44211
0.05675,0.62579
0.47579,0.96194
0.43872,0.92051
0.72063,0.58819
0.44454,0.09229
0.26525,0.31705
0.88975,0.78911
0.26557,0.66853
0.71450,0.16096
0.10567,0.70806
0.52287,0.37590
0.11504,0.65959
0.20612,0.55728
0.81715,0.11726
0.86580,0.11158
0.93828,0.84651
0.94993,0.15343
0.99272,0.03444
0.15030,0.12683
0.06614,0.00957
0.38789,0.73398
0.59630,0.73031
0.78945,0.77363
0.18166,0.18213
0.86304,0.08877
0.91969,0.29936
0.07993,0.61795
0.92398,0.63108
0.07219,0.97076
0.93378,0.98910
0.41392,0.75974
0.05632,0.29462
0.54276,0.96915
0.18348,0.65913
0.75612,0.03648
0.38287,0.58440
0.05729,0.59126
0.07258,0.56238
0.23702,0.62765
0.10885,0.07728
0.20579,0.63120
0.80032,0.19046
0.11362,0.62140
0.44826,0.64544
0.09042,0.46130
0.95340,0.27266
0.64974,0.28727
0.49134,0.95802
